Line,Month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Eastern Suburbs,August,940075,860231,827816,856675,835376,861996,870781,916259,861985,868861,946346,997521,952671
Eastern Suburbs,September,883769,854528,872987,827539,784763,811032,804342,895311,851492,860308,949153,946640,917959
Eastern Suburbs,October,948112,914258,870240,811663,826300,847440,898578,914958,869738,899036,955491,994067,981447
Eastern Suburbs,November,933051,908707,938424,869447,886599,898812,909990,931611,904629,959011,1040101,1037933,973311
Eastern Suburbs,December,912111,893771,908491,827549,827085,824118,847507,919205,856578,895356,975742,951933,941845
Hunter,January,52717,54787,54910,56000,55008,58939,63439,60669,58886,56538,58360,59790,54787
Hunter,February,50157,50812,53877,52339,59008,62818,61397,59009,55456,54888,53238,59964,53927
Hunter,March,67041,66125,69347,67999,67019,74158,71383,67339,73653,74415,79189,79425,70187
Hunter,April,57792,61265,61677,60982,63943,65382,62723,66385,66638,64811,68474,69349,69324
Hunter,May,62905,61460,62899,64973,67720,74697,69751,69411,65902,64811,71149,73766,67811
Hunter,June,47134,47002,57117,54405,55885,60141,43379,59987,52937,50297,56733,51292,50451
Hunter,July,60358,53740,67416,61786,61565,66008,63100,68105,59995,59064,62396,59629,59081
Hunter,August,60896,59422,66139,64347,68608,66703,63581,66873,62211,64011,71092,69687,68127
Hunter,September,56540,59178,70609,67099,70976,67610,61242,66854,62546,65797,70690,63479,63318
Hunter,October,62407,60087,65607,60150,68373,70763,67769,68064,64279,61716,66286,64033,64707
Hunter,November,52791,55486,57013,59226,62483,55217,58668,62494,54842,61859,63112,59774,54905
Hunter,December,51519,50082,54895,57672,57220,57608,55993,61156,57524,60885,58362,53289,55229
Illawarra,January,2209121,2100373,2129297,2094903,2106673,2067367,2210156,2345922,2294259,2210843,2303476,2356249,2359234
Illawarra,February,2094118,1989465,2014288,2037110,1984073,2025138,2105892,2296300,2262890,2258372,2261380,2431373,2365638
Illawarra,March,2400515,2221183,2371631,2390064,2295004,2410989,2490034,2527257,2731861,2698291,2774014,2797351,2787231
Illawarra,April,2128160,2313337,2089471,2135037,2194969,2115979,2284793,2541638,2371973,2337396,2435858,2519445,2564353
Illawarra,May,2379262,2275180,2251722,2316916,2340195,2448374,2491216,2591391,2610969,2553472,2664865,2771021,2753276
Illawarra,June,1970616,2028030,2187150,2201314,2120948,2127425,2199216,2408888,2358895,2381301,2480611,2484912,2519843
Illawarra,July,2305678,2283576,2261497,2180699,2046844,2233300,2398977,2431859,2424804,2447669,2500873,2551626,2572801
Illawarra,August,2316327,2219645,2230232,2360123,2390807,2387517,2492729,2608946,2559822,2517724,2604701,2739158,2758275
Illawarra,September,2128204,2201423,2326551,2247360,2179905,2199852,2253128,2545916,2489910,2459906,2593474,2599250,2580304
Illawarra,October,2373043,2233804,2243514,2169654,2270940,2323603,2508586,2548628,2476867,2481992,2545093,2625456,2734594
Illawarra,November,2171657,2096420,2165937,2265188,2240888,2277092,2393475,2498331,2461524,2508713,2584777,2607977,2641075
Illawarra,December,1939038,1964327,2085653,2079319,2010211,2059929,2179106,2407659,2304098,2424841,2490438,2433783,2535940
Inner West,January,1491224,1442083,1422928,1372445,1366057,1399390,1505148,1612838,1572395,1489647,1542473,1594976,1627572
Inner West,February,1431260,1364288,1387569,1383462,1353036,1393238,1455650,1628515,1584799,1540846,1554098,1701381,1638133
Inner West,March,1656296,1617362,1627065,1621506,1606462,1658973,1729938,1823199,1862303,1854870,1900555,1933359,1945876
Inner West,April,1566302,1576770,1487296,1473008,1506082,1474214,1618333,1787873,1710550,1694140,1702101,1742184,1766508
Inner West,May,1674613,1582810,1549582,1583447,1618469,1702124,1738718,1775681,1790029,1777156,1828123,1893908,1937528
Inner West,June,1386510,1420378,1499905,1479966,1435391,1493616,1543058,1686698,1676420,1626856,1682935,1726865,1742308
Inner West,July,1603585,1559473,1540988,1474084,1474888,1523556,1706027,1756381,1712777,1683101,1730221,1794443,1798857
Inner West,August,1604330,1559990,1554296,1602089,1643346,1644186,1742896,1819504,1756390,1755880,1777148,1859861,1906304
Inner West,September,1472921,1530982,1587495,1502631,1514861,1520024,1603671,1793275,1712254,1734424,1765272,1786240,1848188
Inner West,October,1613887,1518660,1570173,1487035,1557940,1608966,1804776,1806428,1711223,1729285,1756814,1803023,1927106
Inner West,November,1489703,1457070,1519540,1501845,1532411,1560227,1657463,1721662,1663199,1718399,1765045,1813458,1850983
Inner West,December,1353788,1359542,1419618,1372303,1366709,1389839,1527555,1655392,1588979,1642605,1663392,1678464,1776892
Newcastle,January,147035,168343,168956,164435,159098,155691,162515,161383,157623,155308,166795,177310,161714
Newcastle,February,141749,148000,152495,129353,148919,147106,132024,147080,141775,149100,153341,173547,155624
Newcastle,March,178350,187158,185371,172214,183374,152794,169707,171558,164257,174992,195368,211377,187574
Newcastle,April,174427,178883,180064,179067,146742,173188,169470,172200,175832,173952,184980,193826,183022
Newcastle,May,164542,168325,168860,162068,161183,166070,165512,168256,165186,166570,180719,189700,173278
Newcastle,June,143038,145663,153132,133424,129914,134090,116761,145967,133322,137711,156903,156888,154790
Newcastle,July,168664,169646,173594,159555,159171,161213,158430,176194,160462,164463,174657,173417,168416
Newcastle,August,164358,163595,161682,140102,147970,149822,150827,166450,149359,158557,177762,175217,175710
Newcastle,September,157726,166557,172778,158792,165000,156577,141577,153055,154638,164084,175869,170997,166138
Newcastle,October,177518,175905,176155,154339,168981,170236,165950,171659,162670,164246,178632,173732,176449
Newcastle,November,158267,157347,138720,150648,156021,138814,138865,157266,141526,162980,175301,174547,162395
Newcastle,December,152901,147407,157515,154335,132475,150299,144039,149956,155459,165610,176353,154366,159976
North Shore,January,2281477,2181149,2126010,2063653,2013305,2039901,2094533,2086025,2072780,2032690,2138268,2237202,2209354
North Shore,February,2220124,2105974,2051696,2035103,2040086,2035729,2087374,2128691,2142108,2209749,2221479,2416140,2271696
North Shore,March,2524509,2393663,2492570,2444091,2340065,2424842,2425746,2297126,2576515,2626245,2650137,2720232,2656622
North Shore,April,2277162,2374253,2219421,2191476,2214623,2045586,2132607,2303101,2327784,2321008,2306541,2371319,2464312
North Shore,May,2510079,2407410,2346163,2343232,2408974,2458804,2383653,2356443,2417421,2461216,2543970,2652612,2694943
North Shore,June,2026781,2122309,2273218,2244431,2128679,2138780,2054000,2149902,2224999,2293495,2317859,2404099,2378829
North Shore,July,2421838,2405838,2348343,2209055,2084744,2207922,2239697,2338854,2335885,2365933,2435259,2475489,2517936
North Shore,August,2372479,2377065,2310303,2386124,2373940,2387552,2296328,2403540,2467842,2455078,2508374,2658265,2636502
North Shore,September,2185888,2281603,2350261,2254335,2198776,2145222,2068589,2318604,2379298,2368474,2486607,2426076,2468200
North Shore,October,2437868,2314746,2346711,2151899,2212143,2298078,2317687,2383526,2354974,2390163,2483795,2561049,2647354
North Shore,November,2267080,2216070,2265009,2257934,2232242,2243248,2177735,2274470,2307786,2381711,2465866,2500331,2486190
North Shore,December,2004842,1948162,2017234,1999174,1885103,1897497,1808028,2157361,2216550,2305744,2334554,2257190,2292033
Northern via Macquarie Park,January,262028,252286,224484,215848,202036,197816,205921,201991,186335,313747,358522,383200,390869
Northern via Macquarie Park,February,261938,245299,229835,213174,215166,209127,211688,213100,206372,356753,387901,422800,408801
Northern via Macquarie Park,March,324202,286902,295589,285998,259689,262694,267916,247005,295335,451405,492536,510372,494616
Northern via Macquarie Park,April,283969,295327,251894,241597,246339,218206,236474,246121,282111,396215,421342,434233,448148
Northern via Macquarie Park,May,324219,289561,275031,270458,269001,274222,260665,252970,303657,424595,467080,492651,501867
Northern via Macquarie Park,June,246952,246827,245404,236379,217422,216927,209431,218431,293172,377641,405831,413987,418607
Northern via Macquarie Park,July,298265,267745,255757,232722,213527,224307,235979,223061,313979,393887,422603,435263,453084
Northern via Macquarie Park,August,307107,273058,259618,268885,258069,252447,253059,251138,359016,425956,461512,492883,491313
Northern via Macquarie Park,September,270350,264798,268164,245356,228455,225430,214031,237194,343671,411498,451066,442922,453831
Northern via Macquarie Park,October,307047,259291,256727,233715,238060,244321,249361,229673,359223,410236,449138,471481,494409
Northern via Macquarie Park,November,268065,235496,234488,235170,226827,222063,214316,220464,344453,405661,437226,453809,454526
Northern via Macquarie Park,December,227052,205373,215645,205780,185260,190310,176137,194709,341492,396946,411951,400348,422267
Northern via Strathfield,January,575341,544748,528111,522253,527655,549991,610642,654366,657293,695696,721023,774610,795983
Northern via Strathfield,February,562625,528406,537722,522818,548445,559854,608431,672587,688094,741502,754329,832778,822702
Northern via Strathfield,March,668678,624734,655841,652617,644668,673896,731727,748832,826359,911359,961261,987008,986395
Northern via Strathfield,April,607071,634245,566730,579233,607504,603427,666367,756421,760375,830423,847030,880845,924946
Northern via Strathfield,May,665017,629237,615994,627406,662320,714158,744830,783343,798518,891165,924894,970414,1005759
Northern via Strathfield,June,530121,556467,571372,565645,568441,595070,628421,707529,742553,784531,814030,842884,879213
Northern via Strathfield,July,635427,621031,602781,576932,582769,640289,711834,743284,795626,841002,867199,901997,933205
Northern via Strathfield,August,643288,614606,603744,630206,660345,685090,745938,796869,834208,885643,924914,964339,994079
Northern via Strathfield,September,576110,608585,618270,588295,605038,631345,656384,760909,810906,853587,888660,898089,933215
Northern via Strathfield,October,648459,602062,607006,566063,622734,674714,756259,753244,817435,840602,901543,930510,989029
Northern via Strathfield,November,576732,561261,560755,574198,600416,632863,670427,740959,772903,835852,867821,901496,932552
Northern via Strathfield,December,500210,496499,525278,522238,516152,562586,597893,674678,728520,782276,813287,799765,825947
Olympic Park,January,23293,24875,21824,36451,22020,9269,13683,16503,15567,16837,20913,18055,24026
Olympic Park,February,24442,8620,12753,9085,7279,9482,8396,12417,17076,25678,18328,20663,21625
Olympic Park,March,8077,26473,18295,18451,26880,11883,10858,25675,18618,19787,26475,26701,33100
Olympic Park,April,27710,15019,46188,25042,11961,26315,18692,15198,25662,25296,28898,40456,27919
Olympic Park,May,10206,34776,11932,11213,9569,7970,8879,15175,16838,17336,19461,28778,26682
Olympic Park,June,25375,21896,18951,13174,10268,8827,8478,13944,16712,14494,19985,25602,27939
Olympic Park,July,28037,18809,29519,17776,21642,19762,18008,27458,22419,31442,21796,32775,34686
Olympic Park,August,9745,20425,19760,14341,10473,12975,11398,16194,20038,15630,20378,22469,30190
Olympic Park,September,45822,18713,28517,20621,14700,9331,13227,11900,15121,17545,19853,22703,29776
Olympic Park,October,11307,26919,33860,8428,14156,10022,12190,14814,16240,16408,18661,25894,40699
Olympic Park,November,26054,11458,62448,8966,8635,13278,11102,13187,19260,21677,23426,22612,28612
Olympic Park,December,12806,15035,14717,7514,11094,9972,10248,18910,21392,30023,19131,29189,37972
South,January,1231297,1223792,1190962,1146110,1096004,1128164,1179952,1251255,1115545,1076258,1098109,1094968,1101640
South,February,1231472,1154451,1169513,1124315,1082204,1113588,1140318,1250657,1219026,1191081,1204376,1280822,1243678
South,March,1435805,1410432,1418723,1394632,1351469,1339155,1372946,1499863,1516169,1511135,1532360,1573000,1569183
South,April,1401805,1407087,1329325,1293942,1234745,1232327,1335401,1394313,1436609,1389941,1400100,1432854,1425589
South,May,1448238,1388822,1332816,1322475,1309763,1382758,1397723,1412790,1439644,1425851,1470661,1532008,1510271
